student_id,first_name,last_name,gender,dob,age,grade,section,roll_no,email,phone,address,city,state,country,gpa,enrollment_date
S000001,Fatima,Hossain,Female,2010-06-30,15,3,A,1,fatima.hossain1@school.edu,01819600133,"House 215, Road 57, Dhaka",Dhaka,Sylhet Division,Bangladesh,2.6,2022-04-15
S000002,Raihan,Banu,Male,2005-02-23,20,12,D,2,raihan.banu2@school.edu,01542351161,"House 374, Road 118, Rangpur",Rangpur,Mymensingh Division,Bangladesh,3.03,2017-12-19
S000003,Moumita,Chowdhury,Other,2013-06-28,12,9,C,3,moumita.chowdhury3@school.edu,01959310341,"House 326, Road 94, Barishal",Barishal,Mymensingh Division,Bangladesh,2.3,2018-02-12
S000004,Nusrat,Hasan,Male,2010-12-28,14,2,B,4,nusrat.hasan4@school.edu,01832764835,"House 206, Road 69, Dhaka",Dhaka,Chattogram Division,Bangladesh,4.47,2024-01-11
S000005,Tasnima,Sarkar,Female,2017-09-21,8,4,D,5,tasnima.sarkar5@school.edu,01672423884,"House 261, Road 127, Mymensingh",Mymensingh,Sylhet Division,Bangladesh,3.2,2017-06-17
S000006,Tasnima,Ahmed,Female,2008-06-06,17,3,D,6,tasnima.ahmed6@school.edu,01916697848,"House 385, Road 69, Dhaka",Dhaka,Rangpur Division,Bangladesh,4.16,2022-08-24
S000007,Jannatul,Chowdhury,Male,2008-07-19,17,1,C,7,jannatul.chowdhury7@school.edu,01828148932,"House 471, Road 1, Rangpur",Rangpur,Mymensingh Division,Bangladesh,2.48,2023-09-25
S000008,Tuhin,Sheikh,Female,2007-07-06,18,5,B,8,tuhin.sheikh8@school.edu,01039117182,"House 136, Road 136, Khulna",Khulna,Rangpur Division,Bangladesh,3.43,2021-03-01
S000009,Tuhin,Siddique,Other,2017-02-04,8,12,C,9,tuhin.siddique9@school.edu,01657871331,"House 113, Road 2, Rangpur",Rangpur,Dhaka Division,Bangladesh,3.76,2017-07-31
S000010,Tasnima,Ahmed,Male,2005-09-15,20,2,B,10,tasnima.ahmed10@school.edu,01473829973,"House 338, Road 111, Comilla",Comilla,Mymensingh Division,Bangladesh,3.22,2016-01-22
S000011,Sadia,Siddique,Male,2006-03-20,19,11,A,11,sadia.siddique11@school.edu,01065133387,"House 448, Road 20, Khulna",Khulna,Barishal Division,Bangladesh,2.55,2020-03-09
